0,41.66
1,
2,111.24
3,40.41
4,58.65
5,132.64
6,207.55
7,58.32
8,11.89
9,7.62
10,331.98
11,220.18
12,61.48
13,
14,72.73
15,158.25
16,
17,132.67
18,162.88
19,67.24
20,84.35
21,241.97
22,202.13
23,58.88
24,175.62
25,130.02
26,81.49
27,97.92
28,229.07
29,
30,215.21
31,211.17
32,34.33
33,152.17
34,39.9
35,0.0
36,35.43
37,403.07
38,321.31
39,184.27
40,120.3
41,99.47
42,80.77
43,1.16
44,255.48
45,320.81
46,10.04
47,143.2
48,259.34
49,395.24
50,141.16
51,1.99
52,82.11
53,111.83
54,61.01
55,
56,109.49
57,152.62
58,88.74
59,136.43
60,3.8
61,64.0
62,54.56
63,36.96
64,190.64
65,148.84
66,103.84
67,12.83
68,518.2
69,150.04
70,319.21
71,30.31
72,54.83
73,234.48
74,51.99
75,129.23
76,143.68
77,265.59
78,13.09
79,87.44
80,425.3
81,146.54
82,160.52
83,80.5
84,150.5
85,31.69
86,45.75
87,263.07
88,22.71
89,77.41
90,158.89
91,257.43
92,63.23
93,11843.99
